in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	0.0013	0.01	0.05	0.03	7.1	0.31	0.17	very low	0.042	21	144	0.99304	3.13	0.4	low	17.76	no
white	0.0067	0.07	0.04	0.03	7.6	0.345	0.26	very low	0.043	15	134	0.9936	3.08	0.38	low	20.79	no
white	0.0045	0.03	0.04	0.01	7.2	0.37	0.15	low	0.029	27	87	0.9903	3.3	0.59	standard	20.5	yes
white	0.0066	0.06	0.04	0.05	6.6	0.23	0.3	very sweet	0.051	33	118	0.99835	3.04	0.54	low	15.27	no
white	0.0078	0.02	0.06	0.03	6.7	0.26	0.49	very sweet	0.052	48	197	0.99558	3.19	0.48	low	22.41	no
white	0.0078	0.06	0.05	0.06	7	0.16	0.3	low	0.043	34	90	0.99047	2.88	0.47	med	29.54	no
white	0.0061	0.05	0.08	0.06	7.5	0.38	0.56	very sweet	0.055	15	170	0.99605	3.13	0.65	low	22.05	no
white	0.0083	0.06	0.01	0.01	7	0.2	0.33	med	0.03	25	76	0.99202	2.88	0.54	med	12.19	no
white	9e-4	0.05	0.05	0.03	6.1	0.15	0.4	very low	0.03	19	84	0.98926	3.19	0.96	standard	13.34	no
red	0.067	0.85	0.38	0.28	7.8	0.53	0.04	very low	0.076	17	31	0.9964	3.33	0.56	med	17.24	no
white	0.0088	0.04	0.01	0.02	7.3	0.33	0.4	sweet	0.038	32	138	0.992	3.03	0.3	standard	25.94	yes
white	0.0017	0.06	0.06	0.02	6	0.27	0.28	med	0.063	31	201	0.9964	3.69	0.71	med	22.66	no
white	0.0088	0.01	0.04	0.04	6.8	0.23	0.3	very low	0.043	19	95	0.99207	3.17	0.46	med	13.61	yes
white	0.0012	0.05	0.06	0.01	6.2	0.18	0.3	very low	0.031	23	73	0.99032	3.23	0.52	med	28.43	no
red	0.05	0.69	0.62	0.23	8.4	0.635	0.36	low	0.089	15	55	0.99745	3.31	0.57	med	22.81	no
white	0.0013	0.1	0.04	0.01	6.3	0.38	0.17	very sweet	0.08	50	212	0.99803	3.47	0.66	low	18.09	no
red	0.045	0.65	0.28	0.31	9.5	0.885	0.27	low	0.084	31	145	0.9978	3.24	0.53	low	24.11	no
white	0.0035	0.09	0.06	0.06	7.8	0.39	0.26	very sweet	0.059	33	181	0.9955	3.04	0.42	med	14.11	no
white	0.0093	0.01	0.06	0.03	7.5	0.35	0.37	low	0.066	29	89	0.98964	3.14	0.42	standard	17.63	no
white	0.0035	0.05	0.06	0.05	6.8	0.27	0.12	very low	0.04	87	168	0.992	3.18	0.41	med	20.19	no
white	0.0051	0.02	0.03	0.02	8.2	0.23	0.37	very low	0.042	39	117	0.9928	2.99	0.36	med	25.4	no
white	0.005	0.02	0.04	0.04	7.2	0.23	0.39	very sweet	0.058	49	192	0.9979	2.98	0.48	low	14.63	yes
white	0.0031	0.1	0.05	0.05	7.7	0.27	0.34	very low	0.028	26	168	0.9911	2.99	0.48	standard	29.41	yes
red	0.05	0.81	0.6	0.31	10.2	0.67	0.39	very low	0.054	6	17	0.9976	3.17	0.47	med	19.35	no
red	0.044	0.36	0.61	0.21	8.2	0.42	0.49	low	0.084	32	55	0.9988	3.34	0.75	low	17.99	no
red	0.056	0.5	0.52	0.19	9.6	0.6	0.5	low	0.079	28	71	0.9997	3.5	0.57	low	48.75	no
red	0.051	0.41	0.63	0.44	7.2	0.62	0.01	low	0.065	8	46	0.99332	3.32	0.51	standard	17.14	no
white	0.01	0.01	0.06	0.05	7.7	0.3	0.23	low	0.068	28	138	0.99382	3.11	0.62	low	12.24	no
white	0.0047	0.06	0.02	0.04	7.5	0.23	0.49	sweet	0.049	61	209	0.9941	3.14	0.3	med	17.99	yes
white	0.0086	0.06	0.05	0.01	7.1	0.37	0.67	very sweet	0.045	49	155	0.9975	3.16	0.44	low	16.6	no
white	0.0096	0.01	0.06	0.02	6.7	0.31	0.08	very low	0.038	58	147	0.9922	3.18	0.46	med	13.16	no
white	0.0027	0.05	0.01	0.02	5.7	0.25	0.26	very sweet	0.049	52	120	0.99691	3.08	0.45	low	21.31	no
white	0.0063	0.02	0.05	0.06	6.1	0.2	0.25	very low	0.038	34	128	0.9921	3.24	0.44	med	16.19	no
red	0.05	0.35	0.37	0.35	7	0.58	0.28	med	0.085	12	69	0.99633	3.32	0.7	med	10.52	no
red	0.061	0.31	0.24	0.28	5.6	0.85	0.05	very low	0.045	12	88	0.9924	3.56	0.82	standard	22.21	yes
white	0.0011	0.1	0.02	0.02	5.5	0.32	0.45	med	0.028	25	191	0.9922	3.51	0.49	standard	19.2	yes
white	0.0012	0.01	0.04	0.06	9.2	0.35	0.39	very low	0.042	15	61	0.9924	2.96	0.28	med	26.88	no
white	0.0076	0.04	0.02	0.06	7.2	0.39	0.62	very sweet	0.047	66	178	0.9976	3.16	0.5	low	19.01	no
white	0.0088	0.01	0.06	0.03	6.9	0.32	0.17	sweet	0.042	69	219	0.9959	3.13	0.4	low	27.57	no
white	4e-4	0.05	0.04	0.05	8.5	0.19	0.48	very low	0.026	23	58	0.99184	2.9	0.5	med	23.02	no
white	0.0071	0.09	0.05	0.06	7.3	0.22	0.49	very sweet	0.034	29	134	0.9939	2.99	0.32	med	13.01	yes
white	0.0057	0.06	0.01	0.01	5.6	0.29	0.05	very low	0.038	11	30	0.9924	3.36	0.35	low	28.58	no
white	0.0082	0.04	0.08	0.02	6.4	0.26	0.49	sweet	0.037	37	161	0.9954	3.38	0.53	low	16.28	no
white	0.0011	0.04	0.05	0.03	6.4	0.24	0.49	med	0.053	25	120	0.9942	3.01	0.98	med	19.6	no
white	0.0081	0.07	0.07	0.03	7.6	0.19	0.41	very low	0.04	38	143	0.9907	2.92	0.42	med	22.58	no
white	0.0051	0.01	0.03	0.03	6.8	0.36	0.32	very low	0.039	10	124	0.9948	3.3	0.67	low	27.84	no
white	0.0073	0.02	0.05	0.02	7.3	0.19	0.68	very low	0.05	31	156	0.9946	3.32	0.64	low	13.37	no
red	0.048	0.41	0.39	0.12	11.5	0.59	0.59	low	0.087	13	49	0.9988	3.18	0.65	med	11.53	no
white	0.0073	0.08	0.07	0.02	7.2	0.32	0.4	very sweet	0.038	45	154	0.99568	3.2	0.47	med	20.99	no
white	0.0071	0.05	0.05	0.02	7.2	0.23	0.19	very sweet	0.052	47	197	0.99865	3.12	0.53	low	15.74	no
white	9e-4	0.05	0.05	0.06	7	0.23	0.33	very low	0.043	46	110	0.99118	3.04	0.65	med	24.6	no
white	0.0072	0.06	0.07	0.06	7.3	0.4	0.26	med	0.016	26	90	0.98951	2.84	0.54	standard	14.81	yes
white	0.0081	0.07	0.04	0.02	6.9	0.18	0.36	very low	0.036	40	117	0.9934	3.27	0.95	low	14.37	yes
white	0.0049	0.01	0.08	0.01	6.2	0.45	0.73	sweet	0.099	47	202	0.99582	3.21	0.43	low	22.79	no
white	0.0084	0.1	0.04	0.03	6.9	0.3	0.25	low	0.041	26	124	0.99428	3.18	0.5	low	16.02	no
red	0.035	0.2	0.64	0.37	6.9	0.52	0.25	low	0.081	10	37	0.99685	3.46	0.5	med	29.97	no
white	0.0022	0.06	0.02	0.04	7.2	0.27	0.74	very sweet	0.037	47	156	0.9981	3.04	0.44	low	29.18	no
red	0.065	0.26	0.1	0.45	6.9	1.09	0.06	low	0.061	12	31	0.9948	3.51	0.43	med	42.26	no
white	0.008	0.03	0.03	0.05	6.1	0.36	0.26	very sweet	0.035	14	88	0.99031	3.06	0.27	standard	20.95	yes
white	0.0093	0.09	0.04	0.02	6.9	0.3	0.49	sweet	0.057	25	156	0.9962	3.43	0.63	med	12.28	yes
white	9e-4	0.08	0.07	0.01	6.6	0.26	0.38	sweet	0.17	68	201	0.9956	3.19	0.38	low	12.33	no
red	0.042	0.36	0.55	0.15	7.8	0.39	0.42	low	0.086	9	21	0.99526	3.39	0.66	standard	17.42	no
white	0.0023	0.04	0.04	0.05	7.3	0.18	0.29	very low	0.036	26	101	0.99	3.09	0.37	standard	24.43	no
white	0.0049	0.08	0.06	0.06	6.1	0.34	0.46	med	0.029	21	94	0.991	3.29	0.62	standard	13.7	no
white	0.0076	0.09	0.02	0.06	6.2	0.36	0.22	med	0.038	44	145	0.99184	3.22	0.4	med	26.44	no
red	0.054	0.42	0.65	0.22	8.8	0.66	0.26	very low	0.074	4	23	0.9971	3.15	0.74	low	10.03	no
red	0.041	0.58	0.59	0.19	8.2	0.38	0.32	low	0.08	24	71	0.99624	3.27	0.85	med	15.67	no
white	0.0034	0.07	0.01	0.03	6	0.24	0.27	very low	0.048	40	170	0.9938	3.64	0.54	med	20.18	yes
white	0.0035	0.1	0.01	0.04	7.4	0.28	0.25	very sweet	0.053	25	148	0.9976	3.1	0.62	low	13.78	no
red	0.056	0.66	0.42	0.4	10	0.41	0.45	sweet	0.071	6	14	0.99702	3.21	0.49	standard	28.48	yes
white	0.01	0.1	0.05	0.05	6.9	0.52	0.54	sweet	0.036	23	169	0.99267	3.26	0.47	standard	20.96	no
white	0.0097	0.03	0.01	0.05	7.8	0.27	0.58	very sweet	0.036	44	161	0.9977	3.06	0.41	low	26.41	no
white	0.0049	0.07	0.03	0.02	4.8	0.34	0	sweet	0.028	33	163	0.9939	3.36	0.61	low	28.9	no
white	4e-4	0.03	0.01	0.02	6.4	0.29	0.21	very sweet	0.041	36	119	0.99334	2.99	0.34	med	25.62	no
red	0.069	0.83	0.38	0.2	7	0.51	0.09	low	0.062	4	9	0.99584	3.35	0.54	med	35.8	no
white	0.0028	0.01	0.04	0.04	7.1	0.39	0.39	very sweet	0.034	25	204	0.99616	3.05	0.52	med	19.29	no
red	0.053	0.21	0.42	0.32	10.8	0.45	0.33	low	0.099	20	38	0.99818	3.24	0.71	med	40.97	no
white	2e-4	0.1	0.01	0.06	7.1	0.25	0.3	low	0.042	25	122	0.994	3.43	0.61	med	27.61	no
white	0.0092	0.06	0.02	0.02	8.9	0.32	0.49	very low	0.05	17	131	0.9956	3.13	0.34	low	17.47	no
white	0.0063	0.07	0.04	0.05	7.1	0.45	0.24	low	0.04	24	87	0.98862	2.94	0.38	standard	19.51	yes
white	0.0055	0.1	0.08	0.04	6.1	0.27	0.3	very sweet	0.039	49	172	0.99985	3.4	0.45	low	18.38	no
white	0.0095	0.07	0.06	0.02	6.6	0.36	0.52	very sweet	0.05	29	140	0.99628	3.07	0.4	low	27.29	no
white	0.0036	0.06	0.08	0.04	6.7	0.25	0.31	very low	0.061	30	218	0.99388	3.16	0.53	low	12.11	no
red	0.052	0.55	0.31	0.1	9.2	0.755	0.18	low	0.148	10	103	0.9969	2.87	1.36	med	38.51	no
white	0.0079	0.08	0.01	0.04	7	0.2	0.34	med	0.035	32	83	0.9928	3.19	0.46	standard	22.46	no
white	0.0052	0.07	0.01	0.02	7.3	0.22	0.37	very sweet	0.063	48	191	0.9978	2.89	0.38	low	27.74	no
white	0.001	0.1	0.05	0.05	7	0.22	0.31	low	0.03	41	136	0.9898	3.16	0.37	standard	13.78	yes
red	0.066	0.52	0.11	0.37	7.8	0.43	0.7	very low	0.464	22	67	0.9974	3.13	1.28	low	24.93	no
red	0.044	0.8	0.22	0.45	11.3	0.37	0.41	low	0.088	6	16	0.9988	3.09	0.8	low	42.7	no
red	0.064	0.73	0.11	0.12	12.3	0.27	0.49	low	0.079	28	46	0.9993	3.2	0.8	med	48.51	no
white	0.0099	0.09	0.01	0.01	9.2	0.28	0.46	low	0.058	39	133	0.996	3.14	0.58	low	26.1	no
red	0.036	0.28	0.13	0.15	13.5	0.53	0.79	med	0.12	23	77	1.0018	3.18	0.77	standard	36.68	no
white	0.008	0.08	0.02	0.04	7.1	0.32	0.24	very sweet	0.05	52	204	0.998	3.1	0.49	low	15.37	no
white	0.0039	0.03	0.02	0.05	7	0.2	0.74	very low	0.044	19	163	0.9931	3.46	0.53	med	23.93	no
white	0.0055	0.06	0.08	0.03	7	0.35	0.17	very low	0.049	7	119	0.99297	3.13	0.36	low	13.01	no
red	0.062	0.67	0.25	0.34	7.2	0.73	0.02	low	0.076	16	42	0.9972	3.44	0.52	low	20.58	no
red	0.037	0.29	0.21	0.19	11.9	0.58	0.66	low	0.072	6	37	0.9992	3.05	0.56	med	15.16	no
white	0.0025	0.07	0.02	0.01	7.7	0.31	0.23	low	0.069	29	134	0.99382	3.11	0.62	low	28.46	no
white	0.0092	0.02	0.05	0.02	7.1	0.37	0.3	sweet	0.04	49	139	0.99021	3.17	0.27	high	25.9	no
red	0.058	0.35	0.51	0.14	7.1	0.63	0.06	low	0.083	8	29	0.99855	3.67	0.73	low	10.4	no
white	0.0048	0.1	0.02	0.01	8.9	0.34	0.34	very low	0.056	13	176	0.9946	3.14	0.47	low	27.4	no
white	4e-4	0.08	0.08	0.06	7.2	0.32	0.4	very sweet	0.038	45	154	0.99568	3.2	0.47	med	18.65	no
white	0.0082	0.09	0.03	0.03	6.3	0.35	0.3	med	0.035	8	97	0.9927	3.27	0.41	med	22.86	yes
white	0.0053	0.02	0.04	0.05	9.2	0.28	0.49	very sweet	0.042	29	137	0.998	3.1	0.34	med	26.41	no
white	0.0061	0.05	0.04	0.03	6.2	0.25	0.38	sweet	0.045	54	208	0.99572	3.17	0.46	low	27.45	no
white	0.0056	0.06	0.02	0.01	7.3	0.34	0.22	very low	0.044	43	176	0.99286	3.14	0.46	low	25.11	no
white	0.0046	0.1	0.04	0.04	8.4	0.17	0.31	sweet	0.038	29	132	0.9945	3.1	0.32	med	16.34	yes
white	0.0062	0.09	0.02	0.01	7.8	0.32	0.31	very low	0.036	46	195	0.993	3.03	0.48	med	21.12	no
red	0.069	0.25	0.54	0.18	7.1	0.66	0	low	0.086	17	45	0.9976	3.46	0.54	low	35.46	no
red	0.055	0.62	0.26	0.11	6.4	0.57	0.02	very low	0.067	4	11	0.997	3.46	0.68	low	41.56	no
red	0.035	0.51	0.54	0.38	9.8	0.39	0.43	very low	0.068	5	11	0.99478	3.19	0.46	med	34.28	no
white	0.0052	0.02	0.03	0.03	5.2	0.17	0.27	very low	0.03	11	68	0.99218	3.3	0.41	low	17.95	no
white	0.0077	0.1	0.07	0.01	8.1	0.22	0.28	sweet	0.043	57	176	0.9954	3.12	0.55	med	19.91	no
white	0.0011	0.06	0.07	0.06	6.8	0.16	0.4	low	0.037	18	102	0.9923	3.49	0.42	med	20.32	yes
white	0.01	0.09	0.03	0.02	6.9	0.19	0.49	sweet	0.036	49	172	0.9932	3.2	0.27	standard	25.5	no
white	0.0086	0.07	0.02	0.05	6.6	0.12	0.25	very low	0.039	21	131	0.99114	3.2	0.45	med	21.2	yes
red	0.06	0.8	0.4	0.4	8.3	0.56	0.22	low	0.082	10	86	0.9983	3.37	0.62	low	23.53	no
white	0.0029	0.08	0.02	0.04	7.9	0.44	0.37	med	0.033	27	93	0.992	3.16	0.54	standard	28.28	yes
white	0.0085	0.04	0.03	0.05	6.9	0.4	0.22	med	0.081	76	303	0.99705	3.4	0.57	low	22.84	no
red	0.052	0.18	0.59	0.35	12.8	0.84	0.63	low	0.088	13	35	0.9997	3.1	0.6	med	46.49	no
red	0.061	0.2	0.43	0.42	7.2	0.695	0.13	low	0.076	12	20	0.99546	3.29	0.54	med	15.94	no
white	7e-4	0.09	0.07	0.06	6.1	0.24	0.25	very low	0.044	24	115	0.9921	3.39	0.59	med	16.53	no
red	0.049	0.39	0.46	0.42	8.7	0.69	0.31	low	0.086	23	81	1.0002	3.48	0.74	standard	27.66	no
white	0.0095	0.03	0.04	0.05	6.2	0.24	0.27	low	0.039	30	123	0.98959	3.12	0.37	standard	15.55	no
red	0.039	0.49	0.22	0.36	11.6	0.47	0.44	very low	0.147	36	51	0.99836	3.38	0.86	low	47.23	no
white	0.0026	0.09	0.05	0.01	6.5	0.3	0.32	low	0.044	34	90	0.99185	3.37	0.68	med	19.19	yes
white	0.0011	0.03	0.08	0.05	7.1	0.36	0.37	med	0.019	39	114	0.99036	3.08	0.49	standard	16.51	yes
white	0.0034	0.08	0.03	0.04	7.7	0.24	0.3	very low	0.041	15	102	0.9929	3.26	0.53	med	24.42	no
red	0.07	0.17	0.4	0.41	7.6	0.51	0.15	low	0.11	33	73	0.9955	3.17	0.63	med	14.16	no
white	0.0015	0.05	0.04	0.02	6.2	0.32	0.45	low	0.029	37	94	0.98998	3.25	0.6	standard	25.8	no
white	0.0042	0.05	0.02	0.04	7	0.25	0.29	very sweet	0.047	40	171	0.9982	3.22	0.45	low	17.76	no
white	0.0073	0.01	0.05	0.06	7.2	0.15	0.38	very low	0.038	18	110	0.9917	3.19	0.43	med	19.45	no
white	0.0083	0.06	0.07	0.05	6	0.32	0.3	sweet	0.174	46	159	0.99519	3.18	0.49	low	19.25	no
red	0.039	0.27	0.34	0.19	10.2	0.29	0.49	low	0.059	5	13	0.9976	3.05	0.74	med	30.78	yes
white	0.0067	0.02	0.07	0.01	5.8	0.29	0.21	low	0.025	12	120	0.9894	3.39	0.79	high	21.44	yes
white	0.0065	0.1	0.04	0.05	8.1	0.2	0.4	low	0.037	19	87	0.9921	3.12	0.54	med	13.61	no
white	0.0031	0.05	0.04	0.02	7.5	0.15	0.38	very low	0.054	19	101	0.9946	3.24	0.44	med	24.03	no
white	0.0032	0.02	0.08	0.06	7.2	0.24	0.36	low	0.029	21	63	0.99076	3.13	0.63	standard	20.65	no
white	0.0047	0.08	0.01	0.01	6.8	0.19	0.33	med	0.047	42	130	0.99283	3.12	0.56	med	21.9	no
white	0.0079	0.01	0.04	0.06	6.9	0.22	0.28	sweet	0.05	43	116	0.99326	3.22	0.6	standard	12.21	yes
white	0.0033	0.09	0.08	0.01	5.5	0.315	0.38	low	0.033	10	69	0.9909	3.12	0.59	med	14.79	no
white	0.0096	0.07	0.05	0.01	6.6	0.18	0.26	very sweet	0.051	17	149	0.9984	3	0.43	low	22.97	no
white	0.0096	0.02	0.01	0.02	6.2	0.46	0.25	med	0.066	62	207	0.9939	3.25	0.52	low	12.3	no
white	2e-4	0.04	0.07	0.05	7.6	0.29	0.49	very sweet	0.03	45	197	0.9938	3.13	0.38	standard	20.97	yes
white	0.0015	0.06	0.08	0.04	6	0.28	0.34	very low	0.119	33	104	0.9921	3.19	0.38	med	25.7	no
red	0.063	0.51	0.59	0.17	10.3	0.5	0.42	low	0.069	21	51	0.9982	3.16	0.72	standard	49.32	no
white	0.0075	0.05	0.07	0.05	7.4	0.16	0.49	very low	0.055	18	150	0.9917	3.23	0.47	med	20.47	no
white	0.0027	0.1	0.05	0.03	6.8	0.18	0.3	very sweet	0.062	19	171	0.99808	3	0.52	low	12.61	yes
white	0.0035	0.02	0.03	0.05	6.2	0.23	0.36	very sweet	0.039	37	130	0.99946	3.23	0.43	low	29.88	no
red	0.039	0.8	0.2	0.29	10	0.35	0.47	low	0.061	6	11	0.99585	3.23	0.52	standard	29.46	no
white	0.0029	0.01	0.04	0.01	7.5	0.32	0.49	very low	0.031	44	109	0.9906	3.07	0.46	standard	13.6	no
white	0.0091	0.06	0.04	0.06	6.8	0.26	0.32	sweet	0.041	38	118	0.9939	3.25	0.52	med	16.5	no
white	0.0049	0.1	0.08	0.03	6.6	0.22	0.28	very sweet	0.058	25	125	0.99856	3.45	0.45	low	27.8	no
white	0.0082	0.04	0.04	0.06	6.9	0.28	0.37	very sweet	0.037	16	76	0.9948	3.05	0.54	med	15.46	no
white	8e-4	0.1	0.07	0.01	6.6	0.28	0.28	very sweet	0.052	55	211	0.9962	3.09	0.55	low	15.07	no
white	0.0065	0.03	0.04	0.03	6.9	0.2	0.4	sweet	0.032	51	176	0.9939	3.22	0.27	med	12.4	no
white	0.004	0.02	0.08	0.06	6.6	0.2	0.27	very sweet	0.038	29	130	0.99496	3.11	0.44	med	24.18	yes
white	0.0055	0.02	0.03	0.03	7.7	0.46	0.18	low	0.054	18	143	0.99392	3.12	0.51	med	27.9	no
red	0.056	0.6	0.22	0.13	8.6	0.63	0.17	low	0.099	21	119	0.998	3.09	0.52	low	30.61	no
red	0.061	0.24	0.41	0.3	7.9	0.4	0.3	very low	0.157	2	45	0.99727	3.31	0.91	low	10.12	no
white	0.0025	0.1	0.01	0.03	6.6	0.15	0.34	med	0.055	34	125	0.9942	3.36	0.42	low	24.89	no
white	0.0036	0.07	0.03	0.04	7.2	0.28	0.26	very sweet	0.046	48	179	0.9975	3.1	0.52	low	26.12	no
white	0.0052	0.05	0.03	0.04	6.7	0.28	0.34	very sweet	0.048	32	111	0.99455	3.25	0.54	med	19.88	yes
white	0.0038	0.08	0.02	0.05	7.1	0.2	0.31	sweet	0.053	32	211	0.99587	3.31	0.59	med	12.41	no
white	0.0068	0.07	0.04	0.04	7.3	0.32	0.35	very low	0.05	8	163	0.99244	3.24	0.42	med	13.71	no
white	0.0089	0.02	0.01	0.03	7.4	0.16	0.3	very sweet	0.056	33	168	0.99825	2.9	0.44	low	23.33	yes
white	0.0013	0.09	0.08	0.03	6.4	0.595	0.14	med	0.058	15	97	0.9951	3.38	0.36	low	19.49	no
white	0.004	0.05	0.05	0.04	6.9	0.54	0.32	very sweet	0.05	53	236	0.9973	3.2	0.5	low	21.81	no
white	4e-4	0.1	0.04	0.03	7	0.21	0.34	very sweet	0.033	31	253	0.9953	3.22	0.56	med	19.78	no
white	0.0067	0.09	0.02	0.05	5.9	0.3	0.29	very low	0.036	23	56	0.9904	3.19	0.38	med	19.3	no
red	0.052	0.1	0.38	0.25	8	0.58	0.28	low	0.066	21	114	0.9973	3.22	0.54	low	17.35	no
white	0.0074	0.07	0.06	0.04	6.8	0.22	0.31	sweet	0.037	33	121	0.99176	3.02	0.39	standard	19.07	yes
red	0.063	0.6	0.36	0.23	9.6	0.5	0.36	low	0.116	26	55	0.99722	3.18	0.68	med	48.07	no
white	0.0044	0.07	0.02	0.02	5.7	0.22	0.2	very sweet	0.044	41	113	0.99862	3.22	0.46	low	16.14	no
red	0.049	0.69	0.55	0.37	6.5	0.52	0.11	very low	0.073	13	38	0.9955	3.34	0.52	low	38.41	no
red	0.043	0.74	0.32	0.26	6.8	0.67	0.15	very low	0.118	13	20	0.9954	3.42	0.67	med	21.62	no
white	0.0069	0.03	0.02	0.03	6.3	0.33	0.42	very sweet	0.037	57	170	0.99884	3.26	0.57	low	15.18	no
red	0.057	0.76	0.2	0.1	9.1	0.22	0.24	low	0.078	1	28	0.999	3.41	0.87	med	35.56	no
white	0.0096	0.02	0.06	0.01	6.1	0.6	0.12	very low	0.05	11	76	0.99268	3.42	0.48	med	12.64	no
white	0.009	0.06	0.03	0.06	7	0.36	0.14	very sweet	0.043	35	228	0.9977	3.13	0.51	low	12.04	no
red	0.062	0.85	0.55	0.21	7.2	0.35	0.26	very low	0.083	33	75	0.9968	3.4	0.58	low	26.64	no
white	0.0039	0.09	0.06	0.04	5.1	0.14	0.25	very low	0.039	15	89	0.9919	3.22	0.43	low	29.48	no
white	0.0031	0.02	0.05	0.02	7.5	0.23	0.36	sweet	0.036	43	161	0.9938	3.04	0.32	med	24.46	no
red	0.064	0.66	0.47	0.12	9.5	0.39	0.41	very sweet	0.069	18	39	0.99859	3.29	0.81	med	16.57	yes
white	0.0053	0.1	0.04	0.03	6.9	0.4	0.42	sweet	0.066	41	176	0.99552	3.12	0.54	low	18.95	no
white	0.0021	0.01	0.03	0.06	7	0.24	0.24	very low	0.047	29	91	0.99251	3.3	0.43	low	26	no
white	0.0033	0.1	0.03	0.05	5.5	0.16	0.26	very low	0.032	35	100	0.99076	3.43	0.77	standard	23.54	no
white	0.0042	0.02	0.08	0.03	6.4	0.34	0.44	very sweet	0.043	54	201	0.99551	3.18	0.48	low	26.48	no
white	0.0097	0.09	0.03	0.06	7	0.24	0.32	very low	0.037	39	123	0.992	3.17	0.42	med	12.4	yes
red	0.053	0.22	0.24	0.11	7.5	0.38	0.57	low	0.106	5	12	0.99605	3.36	0.55	med	24.6	no
white	0.0098	0.01	0.06	0.02	8.5	0.19	0.49	low	0.044	29	117	0.9938	3.14	0.51	med	21.06	no
white	0.0083	0.05	0.01	0.02	6.7	0.24	0.32	very sweet	0.023	20	109	0.99262	3.34	0.35	standard	26.01	no
red	0.052	0.64	0.41	0.21	9.6	0.32	0.47	very low	0.056	9	24	0.99695	3.22	0.82	med	29.33	yes
white	0.0066	0.04	0.07	0.03	8.3	0.49	0.43	low	0.036	32	116	0.9944	3.23	0.47	med	20.16	no
white	0.0097	0.06	0.02	0.04	6.2	0.36	0.14	very sweet	0.036	38	155	0.99622	3.27	0.5	low	16.64	no
red	0.061	0.44	0.63	0.4	8	0.715	0.22	low	0.075	13	81	0.99688	3.24	0.54	low	37.99	no
white	0.0066	0.05	0.02	0.04	6.9	0.19	0.35	very low	0.036	33	101	0.99315	3.21	0.54	med	19.93	yes
white	0.0015	0.04	0.07	0.06	8.4	0.23	0.49	sweet	0.035	22	95	0.9935	3.04	0.34	standard	16.79	no
red	0.06	0.82	0.11	0.33	7.9	0.35	0.21	very low	0.073	46	102	0.9964	3.27	0.58	low	23.67	no
red	0.047	0.79	0.31	0.24	7.9	0.3	0.68	very sweet	0.05	38	278	0.99316	3.01	0.51	standard	39.35	yes
red	0.043	0.65	0.36	0.26	6.1	0.4	0.16	very low	0.069	11	25	0.9955	3.42	0.74	med	11.24	yes
white	0.0099	0.05	0.03	0.01	6.3	0.23	0.21	med	0.035	29	142	0.9942	3.36	0.33	med	12.84	yes
white	0.0093	0.04	0.06	0.01	7.6	0.22	0.34	very sweet	0.035	26	143	0.9965	3.08	0.49	low	17.69	no
white	0.0012	0.02	0.06	0.05	7.4	0.2	0.33	very low	0.035	39	138	0.991	3.17	0.44	standard	22.25	yes
white	0.0058	0.02	0.02	0.05	6.7	0.26	0.3	very low	0.043	25	121	0.9944	3.44	0.61	med	15.77	no
red	0.06	0.44	0.39	0.33	6.7	0.855	0.02	very low	0.064	29	38	0.99472	3.3	0.56	med	16.14	no
white	0.0075	0.06	0.05	0.03	6.8	0.29	0.56	very sweet	0.043	66	230	0.9972	3.02	0.63	low	13.27	no
white	0.008	0.07	0.03	0.01	7.9	0.19	0.26	low	0.039	8	143	0.9942	3.05	0.74	low	12.03	no
white	0.0018	0.05	0.01	0.01	6.8	0.34	0.74	low	0.088	23	185	0.9928	3.51	0.7	standard	22.6	no
white	0.0062	0.1	0.03	0.04	5.5	0.16	0.22	med	0.03	30	102	0.9938	3.24	0.36	low	21.03	no
white	0.0047	0.07	0.05	0.04	6.3	0.19	0.29	low	0.022	33	96	0.98902	3.04	0.54	standard	29.25	yes
white	0.0013	0.06	0.07	0.06	6.5	0.28	0.34	very sweet	0.038	30	133	0.9954	3.11	0.44	low	18.66	no
white	0.0065	0.01	0.03	0.01	6.4	0.475	0.06	very low	0.03	9	131	0.9904	2.97	0.29	med	29.83	no
white	0.0087	0.01	0.05	0.02	7.4	0.155	0.34	low	0.045	74	214	0.9934	3.18	0.61	low	22.99	yes
white	0.0019	0.03	0.07	0.05	6.4	0.3	0.45	low	0.197	76	180	0.9942	3.02	0.39	low	17.02	no
white	0.0075	0.03	0.03	0.03	7	0.25	0.45	low	0.045	40	118	0.99064	3.16	0.48	standard	25	yes
white	0.003	0.07	0.01	0.02	7.3	0.19	0.27	very sweet	0.057	45	155	0.99807	2.94	0.41	low	23.75	yes
white	0.0056	0.02	0.03	0.01	9.2	0.22	0.4	low	0.054	18	151	0.9952	3.04	0.46	low	27.33	no
white	0.0075	0.09	0.05	0.06	6.9	0.31	0.34	sweet	0.059	36	174	0.9963	3.46	0.62	med	23.81	yes
white	0.0041	0.09	0.01	0.05	6	0.41	0.21	very low	0.05	29	122	0.9928	3.42	0.52	med	23.28	no
red	0.049	0.36	0.52	0.28	7.3	0.48	0.32	low	0.062	31	54	0.99728000000000006	3.3	0.65	med	19.27	yes
